n_hidden,n_epoch,accuracy,time,time_s
1,1,0.9585,1.4s,1.4
1,20,0.9860,25.9s,25.9
1,100,0.9870,2m 6.5s,126.5
2,1,0.9485,2.3s,2.3
2,20,0.9865,43.6s,43.6
2,100,0.9890,3m 29.2s,209.2
4,1,0.9735,2.3s,2.3
4,20,0.9860,44.s,44
4,100,0.9900,3m 45.2s,225.2
8,1,0.9675,2.8s,2.8
8,20,0.9860,1m 7s,67
8,100,0.9910,4m 11.9s,251.9
16,1,0.9685,3.5s,3.5
16,20,0.9865,57.4s,57.4
16,100,0.9900,4m 52.6s,292.6
32,1,0.9720,3.6s,3.6
32,20,0.9865,1m 7.2s,67.2
32,100,0.9910,5m 52.8s,352.8
64,1,0.9725,5.6s,5.6
64,20,0.9865,1m 31.2s,91.2
64,100,0.9885,8m 1.7s,481.7
128,1,0.9735,8.4s,8.4
128,20,0.9860,2m 33.6s,153.6
128,100,0.9895,13m 21.3s,801.3
256,1,0.9735,24.8s,24.8
256,20,0.9885,8m 2.4s,482.4
256,100,0.9905,40m 23.1s,2423.1
392,1,0.9740,36.8s,36.8
392,20,0.9880,12m 19.5s,739.5
392,100,0.9905,59m 18s,3558
512,1,0.9765,44.1s,44.1
512,20,0.9885,14m 59s,899
512,100,,,
784,1,0.9775,1m 9.1s,69.1
784,20,0.9885,21m 58.6s,1318.6
784,100,,,
1024,1,0.9795,1m 42.3s,102.3
1024,20,0.9870,27m 45s,1665
1024,100,,,
1568,1,0.9820,2m 8.4s,128.4
1568,20,0.9880,41m 45.2s,2505.2
1568,100,,,
